"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
0.922,-22.0738231756676,-22.1418728720939,-3.36966499397418,-3.22449883130083
0.924,-21.9965070230036,-22.0651500623528,-3.37817843291842,-3.22020443572365
0.926,-21.9073732464464,-21.9755686597494,-3.38740483513747,-3.21565478404759
0.928,-21.8070684838823,-21.8736890660614,-3.39735717260413,-3.21084820016128
0.93,-21.6962910785624,-21.7601379079519,-3.40804917653459,-3.20578321952132
0.932,-21.5757753413476,-21.6355927118165,-3.41949537127892,-3.20045860179596
0.934,-21.4462765255239,-21.500766655798,-3.43171110998998,-3.19487334452384
0.936,-21.3085570011453,-21.3563939892305,-3.44471261216151,-3.18902669786128
0.938,-21.163373976755,-21.2032165902323,-3.45851700312904,-3.18291818049748
0.94,-21.0114689791726,-21.0419720001454,-3.4731423556292,-3.17654759682204
0.942,-20.85355917796,-20.8733831427922,-3.4886077335148,-3.16991505543522
0.944,-20.6903305373505,-20.6981498177145,-3.50493323772452,-3.1630209890978
0.946,-20.5224326982512,-20.5169419565995,-3.52214005460626,-3.1558661762238
0.948,-20.3504754366515,-20.3303945543546,-3.54025050669308,-3.14845176402658
0.95,-20.17502651043,-20.1391041312107,-3.55928810602916,-3.14077929343613
0.952,-19.9966106907779,-19.9436265480369,-3.57927761014045,-3.13285072591347
0.954,-19.815709773312,-19.7444759807026,-3.60024508074023,-3.12466847229614
0.956,-19.6327633734753,-19.5421248571144,-3.62221794525349,-3.11623542381773
0.958,-19.4481703274187,-19.3370045687733,-3.6452250612351,-3.10755498545337
0.96,-19.2622905402093,-19.1295067839119,-3.66929678374497,-3.09863111175277
0.962,-19.0754471455592,-18.9199852085942,-3.69446503572844,-3.08946834533246
0.964,-18.8879288635681,-18.708757663306,-3.72076338142995,-3.08007185820892
0.966,-18.6999924640532,-18.4961083638356,-3.74822710284441,-3.07044749616525
0.968,-18.5118652621729,-18.2822903154702,-3.77689327917916,-3.06060182635474
0.97,-18.323747589871,-18.0675277480035,-3.80680086926232,-3.05054218835592
0.972,-18.1358152010622,-17.8520185353508,-3.83799079678649,-3.04027674890481
0.974,-17.9482215805072,-17.6359365575963,-3.87050603822027,-3.02981456054134
0.976,-17.7611001361665,-17.4194339750666,-3.90439171315147,-3.01916562441808
0.978,-17.5745662627013,-17.2026433936935,-3.93969517674236,-3.00834095752986
0.98,-17.388719269965,-16.9856799087189,-3.97646611387753,-2.99735266463331
0.982,-17.2036441750699,-16.7686430199232,-4.01475663446391,-2.98621401513482
0.984,-17.0194133601438,-16.5516184162916,-4.05462136919854,-2.97493952523336
0.986,-16.8360881004513,-16.3346796315854,-4.09611756494652,-2.96354504561177
0.988,-16.6537199693214,-16.1178895748776,-4.13930517866515,-2.95204785497507
0.99,-16.4723521274775,-15.9013019419291,-4.18424696856448,-2.94046675973659
0.992,-16.292020505029,-15.6849625144775,-4.23100858090125,-2.92882220015261
0.994,-16.1127548846879,-15.4689103552313,-4.27965863045509,-2.91713636320192
0.996,-15.9345798947983,-15.2531789067095,-4.33026877232246,-2.90543330249809
0.998,-15.7575159205908,-15.0377970021348,-4.38291376217293,-2.8937390655082
1,-15.5815799417564,-14.8227897964546,-4.43767150153184,-2.88208182833142
1.002,-15.4067863040167,-14.6081796252771,-4.49462306396518,-2.8704920382627
1.004,-15.2331474318866,-14.3939867991217,-4.55385269722954,-2.8590025643295
1.006,-15.0606744893045,-14.1802303399236,-4.61544779549003,-2.84764885594205
1.008,-14.8893779942651,-13.9669286662285,-4.67949883457601,-2.83646910973766
1.01,-14.7192683930377,-13.7541002329825,-4.74609926191097,-2.82550444462532
1.012,-14.550356599003,-13.541764131277,-4.81534533118366,-2.81479908494675
1.014,-14.3826545005957,-13.3299406528573,-4.88733586998592,-2.80440055156106
1.016,-14.2161754422955,-13.1186518236525,-4.96217196648473,-2.79435986053046
1.018,-14.0509346820786,-12.9079219100314,-5.03995655867454,-2.78473172893091
1.02,-13.886949828205,-12.6977779009401,-5.12079390681819,-2.77557478713207
1.022,-13.7242412576911,-12.4882499685233,-5.20478892627423,-2.7669517966819
1.024,-13.5628325182819,-12.2793719092816,-5.29204635396812,-2.75892987269033
1.026,-13.4027507152007,-12.0711815672522,-5.38266971723617,-2.75158070933125
1.028,-13.2440268834031,-11.8637212401334,-5.47676006860425,-2.74498080676871
1.03,-13.0866963455043,-11.6570380686886,-5.57441444421995,-2.73921169746147
1.032,-12.9307990549664,-11.4511844091687,-5.67572399712431,-2.73436016940644
1.034,-12.7763799235347,-11.2462181878721,-5.78077174935621,-2.73051848344635
1.036,-12.6234891312958,-11.0422032363257,-5.88962989912296,-2.72778458128988
1.038,-12.4721824170849,-10.8392096049128,-6.00235661113718,-2.72626228037522
1.04,-12.3225213463164,-10.6373138521,-6.11899221005225,-2.72606145115352
1.042,-12.1745735526335,-10.4365993057244,-6.23955468927231,-2.72729817178333
1.044,-12.0284129490925,-10.237156292109,-6.36403444111023,-2.73009485461674
1.046,-11.8841199039161,-10.039082328078,-6.49238811055729,-2.73458033823677
1.048,-11.7417813751844,-9.84248227026956,-6.6245314755918,-2.74088993818457
1.05,-11.601490998199,-9.64746841549588,-6.76033126446409,-2.74916544891514
1.052,-11.4633491186765,-9.45416054531382,-6.89959583810697,-2.75955508896272
1.054,-11.3274627644293,-9.26268590746049,-7.04206469813641,-2.77221338080912
1.056,-11.193945547803,-9.07317912641038,-7.1873968334142,-2.78730095656164
1.058,-11.0629174908984,-8.88578203506214,-7.33515799761579,-2.80498428029645
1.06,-10.9345047655467,-8.70064341949599,-7.48480712440847,-2.82543527784904
1.062,-10.8088393401759,-8.51791866890479,-7.63568224370828,-2.84883086497607
1.064,-10.6860585261384,-8.33776932322871,-7.78698646900741,-2.87535236521584
1.066,-10.5663044168178,-8.16036251176227,-7.93777488553674,-2.9051848094803
1.068,-10.449723213916,-7.98587027708626,-8.08694347871831,-2.93851611045835
1.07,-10.3364644367982,-7.81446878014114,-8.23322158677939,-2.97553610632954
1.072,-10.2266800126301,-7.64633738411931,-8.37516970752572,-3.01643547010337
1.074,-10.1205232473227,-7.4816576171228,-8.5111847802931,-3.06140448311833
1.076,-10.0181476799584,-7.32061201619596,-8.63951521579906,-3.11063167384913
1.078,-9.91970582640661,-7.16338285836846,-8.7582878497874,-3.16430232614883
1.08,-9.82534782116359,-7.01015078767406,-8.86554852998747,-3.22259686434003
1.082,-9.73521997000762,-6.86109335066319,-8.95931710532986,-3.28568912608496
1.084,-9.64946322971788,-6.71638345658562,-9.03765612690675,-3.35374453760096
1.086,-9.56821163473773,-6.57618778205449,-9.0987506591636,-3.42691820941237
1.088,-9.4915906941066,-6.44066514344758,-9.14099445907489,-3.50535297429033
1.09,-9.41971578506689,-6.30996486338811,-9.16307579324132,-3.58917739215972
1.092,-9.35269057229089,-6.1842251601918,-9.1640548161802,-3.67850374937616
1.094,-9.2906054834947,-6.06357159099452,-9.14342419753618,-3.77342608172837
1.096,-9.23353627314892,-5.94811558022701,-9.10114584838603,-3.87401825165432
1.098,-9.18154270593351,-5.83795306504901,-9.03765911791767,-3.98033211035694
1.1,-9.13466739042665,-5.73316328821045,-8.95385929829297,-4.09239577469546
